Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,componentnumber,strongcompnum,pageranks,clustering,eigencentrality,modularity_class
342,,,16,0,16,16,0,16,0,0,0,0,0.000015,0,0,105,0.002344,0.091667,0.125247,92
603,,,7,0,7,7,0,7,0,0,0,0,0.000044,0,0,104,0.000829,0.119048,0.061691,83
449,,,0,1,1,0,1,1,1,1,1,0,0,0,10,108,0.000128,0,0,6
266,,,2,0,2,2,0,2,0,0,0,0,0,0,10,107,0.000346,0,0.000752,6
451,,,0,1,1,0,1,1,1,1,1,0,0,0,0,110,0.000128,0,0,48
45,,,10,0,10,10,0,10,0,0,0,0,0,0,0,109,0.000798,0.233333,0.087924,48
453,,,0,1,1,0,1,1,1,1,1,0,0,0,11,112,0.000128,0,0,7
452,,,1,0,1,1,0,1,0,0,0,0,0,0,11,111,0.000237,0,0.000376,7
454,,,2,1,3,2,1,3,1,1,1,0,0,0,0,113,0.000205,0.333333,0.012548,48
457,,,1,1,2,1,1,2,1,1,1,0,0,0,12,115,0.000142,0.5,0.000376,80
456,,,2,0,2,2,0,2,0,0,0,0,0,0,12,114,0.000262,0.5,0.001185,80
459,,,0,1,1,0,1,1,1,1,1,0,0,0,0,117,0.000128,0,0,74
253,,,3,0,3,3,0,3,0,0,0,0,0,0,0,116,0.000471,0,0.001994,74
460,,,0,1,1,0,1,1,1,1,1,0,0,0,0,119,0.000128,0,0,62
712,,,2,0,2,2,0,2,0,0,0,0,0,0,0,118,0.000422,0,0.00687,62
461,,,4,1,5,4,1,5,2,0.666667,0.75,370,0.000711,0.000001,0,120,0.00046,0.15,0.078927,54
463,,,2,1,3,2,1,3,2,0.666667,0.75,0,0,0,0,122,0.000683,0.5,0.005433,49
464,,,5,2,7,5,2,7,1,1,1,20,0,0,0,122,0.001254,0.033333,0.007447,49
256,,,6,0,6,6,0,6,0,0,0,0,0,0,0,121,0.001438,0.066667,0.010566,49
466,,,4,1,5,4,1,5,1,1,1,2,0,0,0,124,0.00029,0.1,0.00237,44
16,,,3,0,3,3,0,3,0,0,0,0,0,0,0,123,0.000454,0.333333,0.004225,44
470,,,8,1,9,8,1,9,1,1,1,21,0,0,0,126,0.000938,0.027778,0.010015,82
251,,,2,0,2,2,0,2,0,0,0,0,0,0,0,125,0.000947,0,0.007968,82
472,,,5,1,6,5,1,6,1,1,1,22,0.000003,0.000008,0,128,0.000382,0.1,0.011318,136
669,,,12,0,12,12,0,12,0,0,0,0,0.000114,0,0,127,0.001062,0.083333,0.030213,136
475,,,0,1,1,0,1,1,1,1,1,0,0,0,0,130,0.000128,0,0,124
588,,,7,0,7,7,0,7,0,0,0,0,0.000001,0,0,129,0.000955,0.071429,0.009992,124
476,,,2,5,7,2,5,7,2,0.692308,0.777778,18.233333,0,0.000008,0,137,0.000211,0.071429,0.001618,92
213,,,5,0,5,5,0,5,0,0,0,0,0.00009,0,0,136,0.000304,0.05,0.005475,92
220,,,5,0,5,5,0,5,0,0,0,0,0.000002,0,0,135,0.000408,0,0.009794,136
521,,,5,1,6,5,1,6,1,1,1,5.066667,0.000001,0,0,132,0.000496,0.266667,0.02451,92
533,,,3,4,7,3,4,7,1,1,1,17.4,0.000001,0,0,134,0.00026,0.166667,0.008736,92
480,,,7,1,8,7,1,8,1,1,1,14.5,0.000114,0.000616,0,138,0.00296,0.047619,0.022271,136
490,,,9,1,10,9,1,10,1,1,1,41,0.009052,0.000008,0,138,0.003141,0.013889,0.02748,136
482,,,12,4,16,12,4,16,2,0.833333,0.9,194.75,0.002864,0.000401,0,141,0.000965,0.029167,0.033778,16
95,,,7,0,7,7,0,7,0,0,0,0,0.002837,0,0,72,0.001653,0.071429,0.102085,16
97,,,3,0,3,3,0,3,0,0,0,0,0.000137,0,0,140,0.000545,0,0.035376,16
102,,,2,0,2,2,0,2,0,0,0,0,0.000027,0,0,139,0.000438,0,0.022604,16
483,,,1,1,2,1,1,2,1,1,1,5.5,0.00001,0.000023,0,142,0.000143,0,0.00266,16
484,,,3,3,6,3,3,6,2,0.666667,0.75,12.7,0.005365,0.001022,0,145,0.000182,0.066667,0.002676,16
224,,,10,0,10,10,0,10,0,0,0,0,0.000119,0,0,144,0.00075,0.077778,0.048983,16
629,,,2,1,3,2,1,3,1,1,1,2.066667,0.002537,0.000125,0,143,0.00019,0.166667,0.004443,16
487,,,16,2,18,16,2,18,4,0.428571,0.537037,36.833333,0.000362,0.000204,0,149,0.000671,0.094771,0.020346,19
488,,,56,4,60,56,4,60,3,0.583333,0.738095,1139.692857,0.000715,0.000064,0,147,0.004352,0.029379,0.198536,19
489,,,18,1,19,18,1,19,4,0.4,0.479167,98.7,0.002287,0.000049,0,148,0.001178,0.073099,0.046866,19
611,,,16,0,16,16,0,16,0,0,0,0,0.000082,0,0,146,0.001895,0.104167,0.14954,19
491,,,1,1,2,1,1,2,1,1,1,1,0.000002,0,0,151,0.000146,0,0.000376,19
212,,,3,0,3,3,0,3,0,0,0,0,0,0,0,150,0.000383,0,0.006718,19
495,,,1,2,3,1,2,3,1,1,1,2,0,0,0,154,0.000214,0.166667,0.001492,48
262,,,3,0,3,3,0,3,0,0,0,0,0,0,0,153,0.000359,0.166667,0.00327,48
294,,,4,0,4,4,0,4,0,0,0,0,0,0,0,152,0.000359,0.083333,0.002963,48
499,,,2,1,3,2,1,3,1,1,1,9,0.000004,0.00001,0,156,0.000313,0,0.003761,92
498,,,5,0,5,5,0,5,0,0,0,0,0.000142,0,0,155,0.000487,0.1,0.013581,92
502,,,7,2,9,7,2,9,2,0.625,0.7,107.333333,0.00069,0.001039,0,157,0.00036,0.055556,0.022439,16
504,,,3,1,4,3,1,4,1,1,1,3,0,0,0,159,0.000264,0,0.001127,130
503,,,2,0,2,2,0,2,0,0,0,0,0,0,0,158,0.000408,0,0.004034,130
507,,,6,1,7,6,1,7,1,1,1,15,0,0.000001,0,161,0.000694,0.142857,0.014564,112
268,,,6,0,6,6,0,6,0,0,0,0,0.000015,0,0,160,0.000934,0.2,0.0202,112
511,,,8,1,9,8,1,9,1,1,1,9.5,0,0,0,163,0.000982,0.180556,0.01794,92
185,,,3,0,3,3,0,3,0,0,0,0,0,0,0,162,0.001092,0.5,0.014755,92
512,,,4,1,5,4,1,5,1,1,1,1,0,0,0,165,0.000263,0.25,0.004673,48
583,,,5,0,5,5,0,5,0,0,0,0,0,0,0,164,0.000559,0.25,0.007371,48
208,,,4,0,4,4,0,4,0,0,0,0,0,0,0,131,0.000807,0.416667,0.029831,92
525,,,1,1,2,1,1,2,1,1,1,0,0,0,13,167,0.000182,0.5,0.000376,90
655,,,2,0,2,2,0,2,0,0,0,0,0,0,13,166,0.000337,0.5,0.001185,90
527,,,4,2,6,4,2,6,1,1,1,11.366667,0,0,0,133,0.000364,0.233333,0.01574,92
530,,,2,1,3,2,1,3,1,1,1,3,0,0,0,169,0.000198,0.166667,0.001867,136
28,,,3,0,3,3,0,3,0,0,0,0,0,0,0,168,0.000445,0.166667,0.003021,136
534,,,0,1,1,0,1,1,1,1,1,0,0,0,0,171,0.000128,0,0,125
303,,,2,0,2,2,0,2,0,0,0,0,0,0,0,170,0.000403,0,0.00315,125
539,,,7,3,10,7,3,10,2,0.714286,0.8,34.166667,0.000016,0.000004,0,176,0.000329,0.166667,0.014455,92
561,,,7,0,7,7,0,7,0,0,0,0,0.000005,0,0,173,0.000653,0.190476,0.063756,92
631,,,17,3,20,17,3,20,1,1,1,191.5,0.000032,0.000001,0,175,0.00093,0.063158,0.088376,92
540,,,9,1,10,9,1,10,1,1,1,60.166667,0.000724,0.000193,0,177,0.000611,0.044444,0.044636,16
546,,,6,3,9,6,3,9,2,0.8,0.875,377.616667,0.0024,0.000283,0,180,0.000429,0.013889,0.015906,16
115,,,10,0,10,10,0,10,0,0,0,0,0.003404,0,0,179,0.001783,0.077778,0.440934,54
321,,,2,0,2,2,0,2,0,0,0,0,0.000035,0,0,178,0.000304,0,0.008701,16
547,,,0,1,1,0,1,1,1,1,1,0,0,0.000002,0,182,0.000128,0,0,16
693,,,4,0,4,4,0,4,0,0,0,0,0.000023,0,0,181,0.000487,0.25,0.006627,16
548,,,3,1,4,3,1,4,1,1,1,0,0,0,0,184,0.00025,0.5,0.002676,19
328,,,5,0,5,5,0,5,0,0,0,0,0,0,0,183,0.000589,0.35,0.006004,19
549,,,2,2,4,2,2,4,1,1,1,0,0,0,0,185,0.000175,0.5,0.001185,19
